1,21,24,30,44.44
2,29,22,32,40.74
3,15,20,34,37.04
4,35,21,33,38.89
5,29,19,35,35.19
6,29,24,30,44.44
7,15,18,36,33.33
8,11,24,30,44.44
9,13,17,37,31.48
10,25,26,28,48.15
11,19,21,33,38.89
12,27,22,32,40.74
13,29,20,34,37.04
14,23,21,33,38.89
15,1,16,38,29.63
16,7,15,39,27.78
17,3,18,36,33.33
18,19,25,29,46.3
19,25,21,33,38.89
20,33,19,35,35.19
21,35,19,35,35.19
22,11,18,36,33.33
23,33,24,30,44.44
24,35,21,33,38.89
25,29,20,34,37.04
26,29,14,40,25.93
27,31,20,34,37.04
28,11,16,38,29.63
29,5,29,25,53.7
30,27,23,31,42.59
