1,11,23,31,42.59
2,13,19,35,35.19
3,15,22,32,40.74
4,35,21,33,38.89
5,17,24,30,44.44
6,11,14,40,25.93
7,15,22,32,40.74
8,3,21,33,38.89
9,11,21,33,38.89
10,25,17,37,31.48
11,19,21,33,38.89
12,21,19,35,35.19
13,11,24,30,44.44
14,3,20,34,37.04
15,1,19,35,35.19
16,7,23,31,42.59
17,1,17,37,31.48
18,7,18,36,33.33
19,1,19,35,35.19
20,7,18,36,33.33
21,35,18,36,33.33
22,5,17,37,31.48
23,29,21,33,38.89
24,19,18,36,33.33
25,23,28,26,51.85
26,11,17,37,31.48
27,31,25,29,46.3
28,11,18,36,33.33
29,3,22,32,40.74
30,27,23,31,42.59
