1,23,215,37,85.32
2,31,222,30,88.1
3,25,225,27,89.29
4,25,222,30,88.1
5,27,222,30,88.1
6,31,221,31,87.7
7,31,222,30,88.1
8,21,221,31,87.7
9,21,220,32,87.3
10,35,215,37,85.32
11,35,221,31,87.7
12,7,217,35,86.11
13,29,227,25,90.08
14,33,222,30,88.1
15,15,218,34,86.51
16,27,218,34,86.51
17,25,228,24,90.48
18,33,223,29,88.49
19,9,219,33,86.9
20,31,227,25,90.08
21,15,223,29,88.49
22,23,217,35,86.11
23,31,224,28,88.89
24,33,216,36,85.71
25,35,217,35,86.11
26,15,221,31,87.7
27,11,214,38,84.92
28,33,225,27,89.29
29,17,222,30,88.1
30,29,222,30,88.1
