1,17,215,37,85.32
2,31,222,30,88.1
3,25,225,27,89.29
4,9,220,32,87.3
5,25,222,30,88.1
6,23,218,34,86.51
7,29,222,30,88.1
8,19,221,31,87.7
9,15,220,32,87.3
10,35,217,35,86.11
11,35,226,26,89.68
12,7,217,35,86.11
13,9,228,24,90.48
14,15,219,33,86.9
15,13,220,32,87.3
16,27,220,32,87.3
17,25,229,23,90.87
18,3,204,48,80.95
19,7,222,30,88.1
20,25,224,28,88.89
21,7,218,34,86.51
22,15,220,32,87.3
23,31,224,28,88.89
24,31,216,36,85.71
25,33,218,34,86.51
26,15,222,30,88.1
27,5,209,43,82.94
28,33,224,28,88.89
29,13,225,27,89.29
30,29,221,31,87.7
