1,11,93,30,75.61
2,11,89,34,72.36
3,17,90,33,73.17
4,5,90,33,73.17
5,7,88,35,71.54
6,11,95,28,77.24
7,23,89,34,72.36
8,11,93,30,75.61
9,7,88,35,71.54
10,21,92,31,74.8
11,9,90,33,73.17
12,15,94,29,76.42
13,17,91,32,73.98
14,23,90,33,73.17
15,9,86,37,69.92
16,9,90,33,73.17
17,11,91,32,73.98
18,15,89,34,72.36
19,9,94,29,76.42
20,5,87,36,70.73
21,15,95,28,77.24
22,15,91,32,73.98
23,9,82,41,66.67
24,17,91,32,73.98
25,15,90,33,73.17
26,17,93,30,75.61
27,31,90,33,73.17
28,19,90,33,73.17
29,11,92,31,74.8
30,11,89,34,72.36
