1,11,94,29,76.42
2,7,88,35,71.54
3,11,91,32,73.98
4,5,90,33,73.17
5,7,87,36,70.73
6,11,95,28,77.24
7,23,91,32,73.98
8,9,92,31,74.8
9,5,93,30,75.61
10,21,92,31,74.8
11,5,94,29,76.42
12,13,94,29,76.42
13,17,90,33,73.17
14,23,92,31,74.8
15,7,87,36,70.73
16,5,90,33,73.17
17,7,90,33,73.17
18,9,91,32,73.98
19,9,93,30,75.61
20,5,84,39,68.29
21,11,95,28,77.24
22,11,92,31,74.8
23,9,86,37,69.92
24,15,90,33,73.17
25,13,91,32,73.98
26,13,95,28,77.24
27,25,91,32,73.98
28,17,92,31,74.8
29,9,91,32,73.98
30,7,86,37,69.92
