1,5,22,39,36.07
2,31,26,35,42.62
3,29,16,45,26.23
4,1,24,37,39.34
5,29,19,42,31.15
6,5,17,44,27.87
7,3,25,36,40.98
8,9,25,36,40.98
9,11,25,36,40.98
10,11,21,40,34.43
11,11,13,48,21.31
12,1,24,37,39.34
13,17,19,42,31.15
14,1,27,34,44.26
15,15,19,42,31.15
16,5,23,38,37.7
17,7,22,39,36.07
18,17,23,38,37.7
19,5,29,32,47.54
20,9,25,36,40.98
21,5,22,39,36.07
22,1,33,28,54.1
23,3,25,36,40.98
24,3,14,47,22.95
25,1,26,35,42.62
26,25,14,47,22.95
27,1,28,33,45.9
28,15,24,37,39.34
29,15,22,39,36.07
30,1,27,34,44.26
