1,5,23,38,37.7
2,31,20,41,32.79
3,29,23,38,37.7
4,1,26,35,42.62
5,35,27,34,44.26
6,5,23,38,37.7
7,35,26,35,42.62
8,17,25,36,40.98
9,11,23,38,37.7
10,31,28,33,45.9
11,33,21,40,34.43
12,3,20,41,32.79
13,19,23,38,37.7
14,1,28,33,45.9
15,35,17,44,27.87
16,5,29,32,47.54
17,7,31,30,50.82
18,29,28,33,45.9
19,5,29,32,47.54
20,31,24,37,39.34
21,27,26,35,42.62
22,1,26,35,42.62
23,7,24,37,39.34
24,3,20,41,32.79
25,5,18,43,29.51
26,31,18,43,29.51
27,7,24,37,39.34
28,27,16,45,26.23
29,19,19,42,31.15
30,5,18,43,29.51
